Met	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-9-1	WT-9-2	WT-9-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-9-1	3A-9-2	3A-9-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-9-1	3Amk-9-2	3Amk-9-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
Betaine	22045.70612	26263.19332	48676.56735	29124.89951	30937.82464	35511.60495	50200.66062	51275.35574	49108.52102	68755.98875	65310.85737	67269.43535	55918.5115	57110.93437	57031.66707	38082.95108	32116.39655	38171.74184	24866.56923	20423.29918	26637.35775	21512.87733	18279.02969	19265.99291	20910.51803	17042.38407	17247.97538	85633.46534	76893.64243	13200.29379	45985.25517	69113.42785	67280.46574	62552.03102	69607.42596	62463.68394	85740.50812	84569.82902	86257.90308	70094.81828	73289.73532	72168.84543	56797.74675	57869.27416	57335.36949	58123.96524	56936.69565	57808.47268	56963.2821	56446.69704	58425.05158	56707.98034	57058.00283	54697.48581	43127.10029	103997.3148	75670.48871	66298.21575	71765.1429	70760.23914	83744.38254	74896.25229	73756.57417	102349.6726	110485.2573	95482.51935	117481.8264	119244.804	117380.4727	105485.6652	100656.598	105755.0383	98243.44784	97147.07079	94325.59427	75011.3852	74476.05734	72997.15271	63008.32009	60729.76868	60371.49532
CDP-ME	1110.189776	348.8249319	634.8992992	0	302.8462189	149.4201335	359.2955178	299.8586658	433.2286062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488.3102215	0	387.6431137	540.9451566	494.7175311	352.5566556	761.7566428	876.4566122	624.5328873	325.2080347	385.6742357	322.5208334	84.96118501	0	100.3955573	0	76.46982092	0	0	122.3506992	0	70.10004781	0	50.90046229	0	0	0	0	0	0	0	310.675638	298.2439162	191.9216854	0	213.0356966	0	0	0	0	124.2818598	103.8433733	0	0	0	66.30931196	0	145.4458842	0	0	0	0	0	0
cis-Aconitate	539.6663711	360.8500237	426.8130952	427.3596301	257.660192	294.2891087	507.5525664	400.0796371	491.1840649	163.1907209	622.3101475	597.9882037	642.931824	413.445014	244.7571053	758.010173	803.103605	638.633986	1107.463064	1312.121364	1611.327185	1504.738216	2161.813534	1604.495717	1671.035105	1881.70772	2212.532092	618.6130115	525.8267121	636.6216074	256.6366813	219.6991439	294.8273044	317.9448216	264.1420904	266.5879804	360.5710928	382.0478706	473.4004859	471.1706948	420.6623433	434.6130968	692.5566754	481.5109847	613.5232966	893.750436	957.3923518	869.5019578	1280.230248	1261.737212	1104.538941	1829.95997	1640.481642	1617.600856	187.2694798	365.0709496	192.4884583	191.9423092	253.6096591	271.3999623	201.3718776	184.0725841	176.9569487	205.6828978	248.697635	295.5570666	220.9791141	190.7939452	226.8764616	219.5167963	196.0784	238.2152784	315.653101	352.1425728	258.5120696	355.1722848	292.733631	257.1600635	398.8780806	491.3977437	395.4556666
Citrate	38368.98093	33229.77651	36598.31048	41153.60052	25197.31746	20891.03351	28972.63537	20780.15641	31313.41866	6758.180218	21109.63953	23302.43934	18865.39411	14546.08568	11457.8458	17060.48573	17071.42274	14637.42486	17056.84776	15229.02532	19875.94395	19989.94391	22425.85157	20338.21465	20553.78514	21612.07846	18896.64164	43855.15861	39587.55364	35214.49007	16441.56955	15662.20522	16034.54914	18861.07549	22360.24842	18696.82404	19783.70741	19681.24659	22254.19168	18043.49998	18730.27697	17289.10324	19062.01899	14972.59987	17802.21888	22239.56252	22973.36344	20780.11329	28173.94007	29110.99232	26839.53955	31605.42181	28423.62771	30778.41609	16291.77238	23842.7706	16845.8387	13388.30787	19095.5397	19535.64993	11214.74083	10615.61487	13313.68509	16173.86767	18434.13864	20679.54884	19086.12869	20309.90415	21302.44659	19399.18198	20129.71513	19324.96804	24394.54067	24609.73066	23040.25667	23154.9925	20293.72429	19463.06175	18939.99138	18094.37409	17435.94982
CoA	1798.420623	1408.443244	1496.378334	769.6620193	633.3571049	809.2863249	979.215013	625.5186505	710.3943477	140.078932	326.6448392	269.4093704	153.9965836	171.1966009	181.6146878	32.44757342	36.503278	42.88955492	42.49530989	37.89806281	10.73800248	0	0	0	0	0	0	1649.884393	678.4066415	1248.52049	1077.904796	967.9218486	899.0382157	1268.644932	1383.849667	644.9751082	647.5851915	1004.735563	823.2974876	602.0589112	668.6883501	451.2938847	662.2300043	570.9398179	502.8286464	478.3110043	526.2113016	731.0483606	293.2275454	153.1611351	603.1517437	253.4992475	369.1986441	337.6476895	1229.139899	1930.153641	1300.000825	1180.084129	1643.84331	1546.525952	985.5019133	956.2183042	759.8556757	63.27891521	479.8911725	96.64735672	60.55384395	390.4762415	87.45439927	189.0291159	253.7651337	82.62107101	90.28783849	0	46.81966376	65.82120889	65.29170685	96.35832053	145.9261161	89.86162512	92.55959814
Cysteine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DXP	2295.176476	1034.885145	1195.169407	914.4558194	858.0628985	650.7181487	1335.04049	969.0422411	1343.899925	0	0	0	315.4580648	208.7883123	230.9139431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752.658582	914.4557594	904.9312317	0	0	0	1161.226841	1044.975096	1438.6443	1679.273117	1294.787899	1351.845738	1185.171584	870.0166648	1088.810976	0	0	0	0	0	0	0	0	0	944.342401	885.1393288	820.2073444	0	0	0	863.926059	806.5263311	795.0733696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fru-1,6-biP	377753.2931	284228.6502	371175.4946	364182.9142	204632.3122	181374.6704	247169.3219	147030.0522	277475.5981	65537.9214	157834.0872	187344.9605	93758.03873	55306.8877	55043.43444	53052.35526	35966.43704	31591.53998	26050.98795	19359.37278	19164.32012	10280.52552	11006.48061	7855.877127	9076.35793	9182.122142	7191.955498	306088.4967	328853.456	241677.9295	176031.6831	183916.9963	119490.5954	234188.2255	250828.2718	214025.5426	157462.8033	165018.6005	183873.1603	116027.0125	125516.3005	118166.4357	99724.41565	69717.0579	92582.92595	78586.83436	74590.14534	68479.78085	68700.18114	69024.21751	73799.73308	73270.17095	65266.28457	68861.6145	182063.5516	180850.2354	174805.7556	95058.40297	161042.6824	176207.1896	74159.87862	90246.86469	118616.4197	60681.02766	76964.83605	77377.70307	53757.2698	68552.52889	73553.33163	53622.29859	60163.56694	74554.71443	97346.80783	72997.68573	93598.41112	111589.6755	69637.28763	77531.83967	64699.67272	65391.5471	54302.07024
G6P	30240.5486	23728.38719	28151.79306	23413.28493	14380.48048	13422.19525	16716.19459	12651.8502	21486.65458	6740.768519	17700.57883	18762.5972	17088.74796	10943.21545	9181.810059	10491.00315	9634.520302	8371.699338	6967.033878	6056.617983	7490.323627	3951.331578	4095.697813	4010.049177	3479.00719	3044.166904	3315.170855	30038.75511	30761.98602	25514.85993	14908.7028	14646.86188	13369.56653	23777.34414	21583.86064	19216.18494	13730.71575	15543.27508	18728.71214	15017.12445	15618.6092	14967.97425	10549.81659	8424.475478	10602.81887	7786.170331	7509.795452	6869.871717	7768.533867	7733.694059	6383.673463	6267.352742	5565.663031	5780.713748	19094.04399	17710.0318	14708.86097	11130.36885	15052.90402	16445.2112	12398.00273	12631.81437	17226.34106	11867.17563	14238.08897	13885.44676	7991.726043	8128.35246	8554.196452	7084.877838	7706.738585	7353.625641	7603.709352	7905.00541	6785.427904	7487.385485	6179.192731	6418.504852	6211.611835	7931.554947	6920.538391
