Met	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-9-1	WT-9-2	WT-9-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-9-1	3A-9-2	3A-9-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-9-1	3Amk-9-2	3Amk-9-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
IPP/DMAPP	0	106.2152688	107.1848517	43.38106247	29.4980597	30.83549147	49.62972741	42.68854813	60.2727155	48.60165115	70.23715922	50.92687492	53.02735473	0	34.09655554	69.95248728	126.5463812	0	0	0	0	0	0	0	0	0	0	4418.178364	4225.477327	3750.357309	13290.57735	12806.46267	11138.80726	39023.46462	42201.92923	34627.52486	36302.93724	40835.50319	44113.89072	15266.59385	17154.09324	15654.45432	27845.86804	21771.9212	25937.82864	21941.52439	21953.8789	20977.0683	27652.31503	27581.9156	29805.54481	22990.08866	27632.33679	28303.42003	8981.045339	9268.107562	7397.092224	100317.0276	132706.0367	142273.6786	236766.8758	240176.6568	276349.0009	370596.1267	368541.3216	369699.6186	266950.2512	262863.2195	272027.2601	181228.1993	192802.4452	195048.3784	132158.994	133721.4025	118712.1004	104087.4148	91765.0956	93627.62456	55385.24489	56934.90804	53032.24246
Isocitrate	0	0	0	0	0	0	378.6766654	0	467.4365308	0	190.926663	0	201.7825169	0	0	198.3472825	218.868302	154.5823274	281.2009765	338.921676	450.3412752	397.7965927	536.8874936	438.4778667	426.0524799	452.9377912	478.0478123	0	0	0	0	0	0	0	0	0	0	0	253.4590683	0	0	0	262.2584754	151.0104968	201.8209437	314.7144232	359.3437436	255.281762	513.1969817	509.6064727	399.6924889	815.426598	607.2237452	749.1871883	183.5462296	0	0	0	0	0	108.5779774	0	0	0	0	0	0	0	0	0	170.9069351	0	0	0	0	0	0	0	165.5560164	197.8927551	147.1303311
Isoleucine	94135.85456	106501.564	215131.2822	104482.8203	112261.2344	155783.2393	87198.69086	100038.3594	74474.19551	24642.54876	25417.78515	22262.05706	3512.646034	3551.136332	2706.029775	0	0	0	0	0	0	0	0	0	0	0	0	293201.3296	284262.8704	52476.43006	119315.9838	172344.8334	253527.5142	122630.9008	119993.1382	102744.1188	50587.20421	58694.61439	60129.94593	18602.11255	17969.43484	19456.17563	0	0	0	0	0	0	0	0	0	0	0	0	130875.1373	325751.9952	158278.1337	178742.6426	198286.1008	186513.2933	144041.2778	141587.9964	115247.9041	92015.10309	105933.6873	87011.0615	76880.36165	67549.227	70642.49856	54964.00177	39532.92035	62813.31127	43524.54342	47358.51872	30582.93518	15842.71084	15330.3977	14661.40434	0	0	0
Isopentenyl-ATP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211.88883	217.756677	171.7831354	545.4260596	568.1869719	492.7810464	805.7319868	865.0478855	934.7464329	404.9211144	420.9738177	383.7211108	610.9458726	459.3605536	571.4023406	546.4883114	559.4074236	513.9349612	579.6643144	575.9095651	591.5614569	713.5534139	679.2705288	705.639127	0	0	0	961.211188	1397.124884	1431.587777	2707.045135	2272.648569	2701.617257	8116.297649	6924.68642	10163.26215	7505.605826	7202.706755	7274.476528	5571.198453	5926.131175	6047.901856	4794.241949	4865.592555	4412.88257	4251.472549	2334.185981	3172.674632	1523.790557	1602.740866	1379.993727
Lactate	582950.8061	411831.9427	619698.3549	257091.275	215635.1792	243507.4744	304055.6562	284008.9897	356900.2079	199034.3038	533981.4364	588834.3432	1067083.317	942431.9953	845814.1484	893632.9114	916503.1506	782593.9472	639293.4591	568470.9493	699072.6517	218519.5296	226057.565	254211.9898	162699.1708	231304.2076	180387.1376	858931.4878	977287.452	1246836.134	328719.0382	314201.0649	385585.4901	320979.5822	239801.1717	227946.8964	222908.5078	245352.2241	311769.0117	310199.9146	310674.5271	360198.4194	300659.6541	216310.273	319326.4142	334800.4547	249254.2554	249824.3963	315345.4599	324544.3428	329432.8761	412399.259	478394.3226	454469.4931	960830.0511	927610.5416	655839.9525	451875.7156	583732.7704	607409.9602	357979.731	396465.0129	351358.4911	435018.4351	379844.1614	431868.4868	414495.2218	345521.0121	387742.0753	448111.6412	392426.1332	529898.8945	588285.6758	635206.1274	605919.7024	563029.9614	510582.2456	495709.3315	801227.4795	992945.6628	795859.1395
Leucine	101212.2695	111973.9249	200817.5246	111238.0168	122233.7634	160191.471	99360.05583	107553.5575	91212.45279	32731.94455	38822.6498	34358.13153	12992.57136	11926.06164	9646.687714	15004.77696	12658.09643	15282.01007	14105.08753	14589.01827	19504.66515	18208.66702	16290.33779	16572.29533	14470.7856	15260.85553	16273.24381	299594.1429	289395.2522	55033.12997	143752.9038	180785.337	251411.6379	150601.1971	134190.6467	110507.7881	66040.36349	72703.03041	78623.3685	33393.53467	32696.03668	35430.34029	26564.26532	25378.07291	26887.80985	27780.39391	26672.8424	27452.4568	28286.10018	27890.95904	27890.50704	28167.30339	29037.07966	23677.52908	137807.2085	301271.8308	167425.4447	205082.6132	215396.0516	203704.2492	166784.817	162959.3724	128686.9912	112965.6498	124461.307	107624.2361	100100.5421	86492.47492	88516.93336	79346.19717	59202.04891	87280.54853	64391.78529	71438.72819	49504.42925	32526.53038	31281.06509	28683.2848	27718.01953	26770.64262	23389.89724
Lysine	164101.2187	158703.7389	190508.3744	107183.4476	88809.53471	106450.2538	83602.95078	83852.66665	83303.76591	47712.85556	43708.07361	45898.73385	59840.03814	70641.37696	75741.1444	103970.1206	93921.84055	102379.654	105810.4722	94256.20069	97611.96409	105880.4232	90532.15808	110975.5706	102519.8135	88147.2199	95874.61776	312867.7893	313697.4638	165859.2707	161213.4263	183325.1986	206046.9946	116484.9554	142406.3723	122142.8688	73851.94418	76289.19223	71001.13871	46845.68922	52405.38692	49880.06601	53203.60645	58076.65185	58311.55699	61471.15875	58413.27862	59818.90811	57232.18707	56033.79043	61932.62919	58815.82102	61274.08061	55842.49936	287290.908	351189.1154	336642.801	194114.7834	203476.4702	220302.9488	168158.6647	156968.3869	162328.9261	138313.3918	148299.1913	122169.167	103670.7244	115944.5588	111109.8997	90175.77568	105475.6033	92103.2745	58846.2928	68739.56917	60231.52943	46429.30268	45071.37428	44562.73775	35866.20813	27909.07367	33839.14448
Malate	37511.41175	30787.69043	37771.45138	16430.65687	15088.45766	15030.49579	10375.19042	9189.987272	11593.28515	2956.878143	5477.783355	5752.234238	5801.142823	5231.698684	4689.964932	5528.075225	5501.321385	5075.322919	6369.179911	6675.944629	7806.753118	7317.857389	8714.593394	8065.4268	8141.022923	9254.587444	9275.575771	58687.71629	53357.40828	58593.43362	28990.64847	23369.59906	30219.28803	22625.87796	21405.51559	19125.99155	12628.46826	13644.62595	13751.07609	11458.34308	11992.58325	9851.539545	12077.59379	10890.03756	10741.96059	12185.31643	12615.577	11143.32973	12956.1795	13739.32322	14078.75642	13768.68304	14213.75436	14771.39852	60497.74833	63978.22189	46721.8036	38357.05879	47383.54047	48780.86774	33623.65161	38083.4168	32774.75153	24385.24041	27778.46439	33305.64741	29323.32529	25128.04512	30499.82603	24982.61068	21308.731	28679.63178	18448.15374	20177.59838	17840.57232	13733.75599	12652.57914	12922.57617	8849.999955	8677.978097	8636.946244
Malonyl CoA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEcPP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8511.287636	8633.557976	10342.08919	18793.26433	16706.74626	20921.8648	34028.92332	32964.27265	29550.93965	36728.62637	36271.85299	38754.74924	41560.63009	37772.41233	39181.9887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methionine	31146.30878	35401.86464	66818.81	34476.13835	38104.43677	49273.93289	30101.59531	32926.62206	27295.01804	3474.15551	3687.532246	3149.563156	145.7462343	188.4619655	214.8179022	143.5882877	125.1634886	120.9016478	167.2415498	147.9670644	203.6565805	188.2053548	202.1300703	205.7053825	186.4857211	212.1942415	237.2569693	95084.56159	89038.59683	16415.19932	42658.51782	60703.4381	81017.70218	45965.56243	45876.27806	39244.14749	20155.90546	21710.35116	22329.04818	1621.000627	1547.04051	1574.097774	268.8340609	291.98499	302.6149025	538.1659654	496.2010081	520.2016678	641.0999182	585.7474333	660.7884757	527.4832247	507.0952639	481.9338448	44282.48989	103563.5079	54404.39364	62510.72221	68919.95032	63788.35694	52668.92378	50136.50309	43348.9611	32943.78712	38306.92333	30817.39189	25886.65964	25568.06481	25503.57318	17353.13869	14049.40966	18696.12517	8190.851563	8964.134751	6714.171254	205.4053916	156.8093608	143.6377714	130.8693312	151.4053494	143.4841493
MEV	202.8812968	152.5546543	183.5996438	83.64933868	61.15818849	73.98833218	90.68953274	81.88819431	94.73108867	34.86778596	78.14920335	73.21328493	62.27785154	55.01158233	45.70025908	83.93851967	84.52801067	73.94823479	111.4658366	87.32263951	130.3958619	124.1424861	133.1610248	114.7814442	126.5020897	123.4560888	134.2426643	265.8933788	308.6417155	245.938988	456.1221612	433.1717899	438.4441168	2290.647069	2872.821951	2632.951307	14585.07652	14984.75901	16986.38134	24189.61735	24403.29698	24752.70761	28626.51474	23458.72074	27440.98701	33406.89599	32680.3893	31437.20413	33317.2497	36782.28652	34171.77166	45384.32543	40444.11612	42440.20985	305.9070434	235.6966657	210.3003063	3648.139798	4681.502265	4854.262408	7036.256247	6944.587498	7236.745449	7715.035258	8911.987361	9030.671171	11495.95734	10506.32528	11318.60819	12192.3906	11490.8782	14136.69107	15427.82645	16533.33755	12829.67194	13931.4322	12747.2104	12661.15343	12064.39365	14717.31589	10424.62578
MEV-P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.42422791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.1237918	163.674409	157.3328761	80.95821909	0	83.47590539	105.1101761	84.40565962	116.0701619	93.2437571	112.0724337	108.5733646	112.1310235	138.333525	116.4504209	154.0841948	141.0496452	150.1036747	526.0620196	482.1238643	449.4122645	2732.398904	4976.46929	4996.678653	5592.29837	5216.964729	5167.369061	8237.107188	8779.581651	9439.891418	7880.414146	7751.477308	8907.625642	7613.513362	6786.925027	10713.12646	10252.75806	11619.70013	11168.14753	14015.48351	11062.8787	8033.160017	9099.757983	12065.90027	7487.985538
MEV-PP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819.6566794	434.0540734	688.7868442	6756.887237	9050.191074	10706.16696	12089.56383	11084.17191	14303.61581	18295.14653	22235.05972	21253.92999	24837.58903	27534.64412	27985.41938	22731.0801	27321.05974	23712.8115	18186.64137	17413.61322	21669.42966	17392.85491	13828.91561	12092.49879	3555.496145	1330.340521	3295.033124
NAD	22133.14544	5513.494661	6259.38088	12114.35717	3926.584352	4766.468412	10757.25737	4616.269367	11408.26758	3656.558519	13239.59721	7090.473221	7484.898256	4947.229012	6593.572604	6809.441086	4302.280759	3574.040106	4422.339398	4092.46372	2689.167858	2826.809665	4307.472531	2242.212354	1758.608109	2845.636756	3622.908665	4544.916612	6485.98064	4316.472742	6860.089813	6081.672787	5038.49965	6072.786891	6725.151689	6735.685113	7286.109209	9866.774106	11852.87953	9782.374974	5928.327627	4550.758533	12356.71574	4601.362907	7667.178444	4134.163972	6513.75919	6646.18388	7065.616805	6206.243014	4357.04198	9265.441146	3343.803066	4815.165522	4456.840823	6727.710028	6917.645457	4919.121731	9142.662603	8346.139303	10149.67336	10253.37186	9047.607095	5587.443493	9246.503553	8394.182377	4010.129064	7710.546224	9623.625576	3790.675685	6158.282751	7267.756284	7931.156671	2684.91318	3503.230426	4991.782205	3905.606092	6053.045517	6112.908817	5156.21131	6487.816727
NADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADP	3429.864474	2507.916096	3483.578211	2980.425146	1635.113213	1518.080015	1608.664802	1563.231503	2325.38047	711.7221812	1376.871452	1563.755139	2675.568499	2115.56014	1959.527199	3061.366019	3062.129903	2462.114584	2062.425131	1926.264416	2686.807332	1818.316831	1963.645081	2278.004569	1846.666576	1658.508633	1356.369376	3225.055755	2618.409405	2849.845231	1919.689735	1391.716832	1866.172479	1892.630438	2373.681815	2000.35146	2140.892623	2730.032946	3029.700998	2446.405069	2564.617109	2458.305488	2959.425952	951.9512099	2100.349153	2833.322216	2056.134472	1900.667533	2045.975591	2831.413379	3079.026815	1796.682636	2420.619028	2653.80233	2554.25099	2627.912148	1532.47676	2372.80441	3014.557009	3367.515265	1819.399823	2556.332451	2803.295225	2487.073892	2727.076701	1556.9552	3471.694141	3513.57368	3630.623242	3151.693004	3479.873688	3335.46714	2393.002421	3226.348135	2912.284869	2079.071266	1790.433592	2355.340095	2563.372576	2424.53601	1664.877022
NADPH	149.5203768	274.6619513	158.0010077	76.05023395	0	0	0	0	0	0	0	0	0	0	41.32435801	0	0	0	0	0	0	0	0	0	0	0	0	310.8965929	255.3772363	0	0	93.12259226	0	95.05481568	207.3632353	151.2805906	158.325336	72.99969251	0	21.84971101	0	0	0	0	0	0	0	0	0	25.12332576	0	0	0	0	243.1617445	0	265.5387289	166.4482312	115.3933228	166.9469372	128.1634015	90.42137476	286.6333134	107.0044169	92.17625945	0	0	85.73731579	89.64256829	0	74.64897273	0	0	0	0	0	0	0	0	0	0
Oxaloacetate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxoglutarate	5215.43386	4271.503706	4893.909017	4374.743702	3344.42865	2833.121126	4236.167277	3563.055129	4150.9917	1489.262978	2284.23821	2198.875266	1192.86469	1090.50008	1115.496748	1179.226412	1135.546944	1166.953057	1113.615204	1230.257855	1393.745973	1008.805294	723.5664634	740.8909985	482.8105803	356.1694438	192.7978844	8810.552109	6880.729388	8556.543981	4220.158644	5041.262139	4990.035755	3249.201492	4511.875769	3597.324101	3141.952198	3117.276903	3278.929615	1569.552399	1663.541553	1540.706983	2116.074355	1841.944572	1920.448852	2222.962844	2366.372077	2000.17043	2039.968787	2345.262838	2554.637462	2129.939262	2120.050576	2028.216337	7423.267596	6714.467583	7167.017851	4834.378081	5192.857498	4890.368344	3257.979321	3507.197494	3546.322214	2944.169326	3605.11278	3355.864783	3147.561386	3355.47634	3646.442396	3099.320376	2276.074569	2852.861265	2039.643873	2210.912926	2645.818611	1666.333773	1700.173251	1754.026408	1441.356572	1719.608316	930.3835769
PEP	1472.429465	1074.754602	1250.095327	1119.978919	752.3617803	743.8196205	861.6853911	736.7627039	1044.588798	309.4688785	1019.9133	1367.602631	1040.629083	817.0542966	732.1049898	842.1178757	679.0407474	625.3806543	543.5288022	515.1441346	506.1546104	357.1879171	413.0885412	422.0037216	342.4028228	344.3716633	324.4136783	2171.593394	1750.740316	1908.019811	1028.186834	912.4142209	632.3189606	1077.498112	1173.118958	737.3603745	869.2880129	941.9597662	861.265528	795.6224145	1000.592461	852.1305792	852.7629902	664.7114992	842.9955584	638.0120165	681.8237707	599.5560306	561.4495829	622.6417654	695.9072898	455.5170317	481.8202324	422.9456776	1819.348074	1880.38323	1659.936816	1329.650731	1315.678232	1390.492173	975.2633086	804.7032236	939.7111704	912.1282117	895.8011686	872.6924159	925.0782967	924.9541034	937.6784765	837.5885938	839.3284635	875.60663	800.7912008	742.6124267	740.05051	733.2295782	596.8778806	512.4170404	499.0738727	504.2609236	477.4469772
Phenylalanine	113834.8599	130468.9178	253788.3208	129516.2385	139541.1846	185752.4975	117629.8043	135177.0135	100240.9672	41316.8396	47700.92476	42849.26742	26019.13802	24880.66995	20693.71664	23830.32698	21628.7855	25491.91648	21194.35374	21904.51358	33938.16774	34094.4152	27550.40314	26042.46318	25383.28785	25010.3615	28372.51106	341237.1074	336320.2085	67359.04759	140840.8513	186993.8524	279300.3644	148097.1648	131981.4833	116685.1594	65788.29469	77660.68431	79250.46153	39721.35334	38543.8506	42169.95155	25543.92658	22863.69971	25405.85534	29858.43566	25705.92251	26593.59389	28133.34759	26744.03219	26129.53739	29861.36871	29877.8699	25549.0748	151873.1745	374889.382	175389.2718	205661.4729	226497.0635	207513.2178	164627.3741	159229.4905	130713.5068	103225.7714	120522.0107	97275.17432	90154.93188	78277.19226	80535.84533	70565.67066	50569.7193	79577.05363	61997.62396	72292.87925	45046.16575	34019.46791	34423.53738	31120.69922	30560.29428	29390.49585	25977.36552
Proline	100658.1015	113297.7356	202408.9392	115961.3363	131909.3963	173105.8208	130711.5207	146012.6068	115530.77	130312.8646	114142.4939	126940.4674	6281.293216	6678.429562	7269.617664	5992.618599	4360.528913	6017.041935	2248.336237	1330.271585	2164.662165	1155.723634	804.168088	1066.00716	969.4869399	861.1302384	1075.080631	253524.3778	241811.4456	60541.58626	123847.901	165146.2495	233209.649	139946.7407	133563.4995	118836.9286	127502.0234	118318.6561	122254.7091	40460.04734	40815.32312	44723.11676	11045.03965	11750.029	10802.04122	11221.82017	10816.24081	10135.38504	9578.653577	8614.423152	9387.171399	8833.983545	8626.948003	7605.515158	133057.6141	300586.7252	162387.9196	183280.1497	203072.9749	186833.6971	180162.8328	192943.4842	167409.8263	205314.6653	249177.4024	195430.2273	259503.0711	236203.1567	231269.9564	185490.1613	186530.9457	209317.8646	17062.02087	19300.92051	19565.51272	4786.617142	4373.712474	4331.023416	5452.732755	4205.234699	4043.031957
Propionyl CoA	2331.271809	1755.067751	2447.799004	961.1770504	607.9796364	325.0082213	0	0	139.9156464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601.611331	812.1620698	574.618236	0	0	240.9538962	206.7180111	190.5256647	250.5876214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660.3067701	443.3454563	0	372.0494758	374.8430453	342.861261	239.1593803	219.5766408	344.5684979	186.2366886	215.327545	240.5994231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyruvate	98907.59719	64723.88578	94111.87704	6825.386256	5062.160626	5372.765878	6030.156956	5269.536067	6848.156401	6515.660334	15064.04869	14279.18786	14388.63184	13451.65893	8785.181894	5811.55561	6877.249862	5642.4847	5859.335856	5148.459658	6057.565389	3216.261101	3569.245336	3135.730749	2252.657044	2255.888379	2604.321063	246369.7092	215534.085	298880.5303	84635.49316	63031.46002	102249.0638	32784.68589	21910.99218	15831.92508	4054.452939	4825.827007	4997.039827	6195.432411	6877.287629	5691.618448	3632.593981	3203.113525	3800.180784	3296.479871	3051.97338	3062.480938	3072.380213	2717.541253	3062.354948	3472.646409	3109.856883	2820.212561	110614.0679	123756.5541	62743.57183	18741.43479	20657.2209	23726.83262	6373.634238	6093.985225	5409.896989	7193.832698	8303.591567	8838.514092	3581.717769	4159.991866	3457.068701	4244.493934	4178.05667	4067.268111	5684.066653	5546.90881	4585.773448	7314.719648	5416.751466	6243.110179	16876.25547	14451.82305	14673.60267
Sarcosine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinate	172928.2	155014.3518	189481.6359	136190.6753	101119.7134	104030.2502	131408.0042	112499.777	140096.0312	48769.5602	119146.9074	140838.6023	111917.2153	94219.8784	93445.23243	81004.44036	79052.06026	66434.74291	58740.23071	57730.83772	57302.57579	39549.64303	37250.31736	40663.40483	28223.68816	27403.6078	28159.20591	213148.1351	207714.2284	203395.9495	120541.2277	109692.3329	114259.7851	130460.4106	118880.8273	119155.7004	107558.3587	119860.747	139532.785	101222.2508	110621.0216	111534.1752	120791.9098	100646.2902	119676.1608	118174.1744	116708.7923	111629.8609	119860.6598	117700.5111	123799.6419	127203.744	125042.7893	130240.1982	196247.9082	189752.0422	145490.8838	127301.0957	140634.6079	152053.8193	111873.3421	125378.0625	121526.1554	111636.5762	110128.9839	119820.2589	94803.61023	75341.68025	78584.38483	87450.93802	83356.22771	87031.18406	98866.30164	98422.17753	87389.39471	88837.79013	77542.27084	77158.37332	91962.35155	91840.38768	92419.01331
Succinyl CoA	0	0	0	0	0	0	0	0	0	0	0	0	0	1156.142769	0	0	849.3004543	1797.373931	0	895.0039424	1439.717494	0	1033.977617	1330.616244	0	0	639.3721994	0	0	0	0	0	0	0	2921.731186	0	1579.246588	0	0	0	0	0	0	0	0	1239.89714	0	1380.826834	875.7982515	1088.234651	1193.311056	1020.693056	0	1380.502431	0	0	0	0	0	0	2350.093499	2791.763617	0	0	0	0	0	0	0	1824.751213	0	0	0	1082.566031	1159.018036	1526.338406	0	893.8448325	1666.77231	1589.929085	1236.902741
Threonine	23355.28948	28473.80653	60527.43443	27680.83914	32166.68274	38468.06736	6519.872782	7404.614392	5642.74462	1740.405448	1684.499887	1512.398868	3067.861125	3804.326855	3391.618186	12294.79826	11806.15826	13554.46001	17573.78111	17427.39214	19367.81906	23042.93226	21624.80651	20626.73318	18608.59439	17862.21797	18744.58317	98227.11268	94028.99744	13636.13288	40394.98305	61364.47098	91366.03045	50394.84371	51361.20951	45002.19128	1021.755803	976.7823816	910.8676289	877.118925	997.938216	1000.256141	975.1260577	984.9572827	1014.178391	1147.921718	1074.136852	1169.972933	1055.316628	1069.212373	1128.90346	1006.626755	1030.319637	813.7310188	37116.05569	107910.5961	47192.13129	57384.5493	65265.48657	57879.14319	47671.11792	46471.25141	38852.8897	19366.81446	22761.51286	17837.55512	680.0619926	772.3481088	772.5994239	571.8303734	470.8471287	548.7028394	696.1629553	716.5830775	529.5974547	754.8319106	690.5038306	639.4275183	1049.718748	968.7660773	1049.235589
Tryptophan	5196.797682	5831.013933	10629.68723	3777.485106	3821.099169	4294.917682	0	0	0	5734.009199	6158.693188	5395.428304	3920.465487	3813.793769	3027.808833	2031.374548	1515.10509	1780.431033	1681.961553	1408.581269	2002.973357	1835.398629	1510.009358	1703.280782	1674.458149	1588.145976	2072.221727	20656.68149	26133.91314	4272.685994	6675.274229	10661.19434	17373.94453	4502.499207	4515.006489	3502.53024	6796.361207	6241.154309	5998.862798	5294.831899	6493.474461	5817.498363	2164.72025	1971.336147	2069.299841	2245.324746	1634.82019	1678.223947	1555.662391	1337.470521	1429.558282	1149.894218	1119.803546	984.4292448	8824.238216	19325.46845	9964.779526	9229.492268	10147.25659	9498.931336	6367.354189	5849.212015	5859.815195	1452.729322	1842.155576	1093.436348	1150.246662	1345.032011	1365.42962	1810.34723	2032.960761	2148.080278	2021.061154	2542.483612	2067.222514	1434.128696	1596.974724	1230.319869	5104.713347	4456.097233	3249.151362
Tyrosine	23185.61614	29783.91491	49523.03396	22303.50833	23915.45706	28623.67261	18127.10842	22072.79761	14222.28562	3718.017763	3794.081749	3647.964354	372.9526581	348.6927134	367.3270159	560.9012336	392.2527959	601.5901583	638.3462806	496.7845338	831.5955066	894.4405201	803.0944346	688.1912069	926.7763921	816.3256072	912.5775991	64243.85811	63168.8588	12227.69813	24542.31495	32392.92366	45532.89016	23664.17754	21631.21934	21639.39085	9598.235167	10659.12832	10869.7677	3208.548894	3357.102649	3362.165144	1411.210296	1634.050896	1569.455184	2531.160836	1853.986364	1886.252166	1981.57336	1807.887144	2127.980057	1918.805821	1719.832929	1926.950322	32265.26197	79538.74256	34448.45972	34756.11763	39406.74685	34656.1399	26147.43416	24703.15268	23956.9775	15207.57165	17194.87437	14577.67366	11559.34672	10384.3381	10723.68655	7785.716896	6097.816675	8426.256374	5361.235438	6074.490528	4478.176057	2035.318562	2173.906545	2234.273151	557.463026	430.1985972	474.3892773
Valine	37338.74661	44456.5766	72589.09298	34309.37391	37473.71365	43077.30895	26895.77846	29029.5323	24773.33338	8098.843287	7289.33339	8177.571994	3241.775871	4616.168937	4035.616356	4434.332395	3794.841665	4839.028651	4372.769924	3913.605921	3231.598559	4495.853544	4159.435266	3879.509108	4082.560032	3707.997667	3921.755674	106213.6343	91685.10302	24802.6715	51152.57973	60630.27226	71162.88299	40872.8994	41294.74019	33748.07894	17589.26173	20317.0757	20741.87843	7852.098384	6928.736355	8078.984968	3911.433934	4216.25863	3952.333015	3661.645788	3569.89587	3717.614241	2733.597658	3914.46209	4285.515226	2584.893086	2680.178199	1728.698512	53413.87967	114391.4777	61564.54004	65506.93446	66744.43508	63095.40863	51288.0259	51119.2164	44948.89161	33769.86062	36679.00583	32093.72565	27582.71878	25766.11741	27821.19765	20508.38505	17483.19361	22459.77425	14117.76145	16799.1217	12590.40299	6651.323803	6805.817332	7176.40751	3387.745397	3203.68132	2594.042013
