Gene	ECKnum
cspB	ECK1551
cspC	ECK1821
cspD	ECK0871
cspE	ECK0616
cspF	ECK1552
cspG	ECK0980
cspH	ECK0979
cspI	ECK1546
csrA	ECK2691
csrD	ECK3240
cstA	ECK0591
cueO	ECK0122
cueR	ECK0481
cusA	ECK0567
cusB	ECK0566
cusC	ECK0564
cusF	ECK0565
cusR	ECK0563
cusS	ECK0562
cutA	ECK4131
cutC	ECK1875
cvpA	ECK2307
cvrA	ECK1179
cyaA	ECK3800
cyaY	ECK3801
cybB	ECK1410
cybC	ECK4231
cycA	ECK4204
cydA	ECK0721
cydB	ECK0722
cydC	ECK0877
cydD	ECK0878
cynR	ECK0335
cynS	ECK0337
cynT	ECK0336
cynX	ECK0338
cyoA	ECK0426
cyoB	ECK0425
cyoC	ECK0424
cyoD	ECK0423
cyoE	ECK0422
cysA	ECK2417
cysB	ECK1269
cysC	ECK2745
cysD	ECK2747
cysE	ECK3597
cysG	ECK3356
cysH	ECK2757
cysI	ECK2758
cysJ	ECK2759
cysK	ECK2409
cysM	ECK2416
cysN	ECK2746
cysP	ECK2420
cysQ	ECK4210
cysS	ECK0519
cysU	ECK2419
cysW	ECK2418
cysZ	ECK2408
cytR	ECK3926
dacA	ECK0625
dacB	ECK3171
dacC	ECK0829
dacD	ECK2004
dadA	ECK1177
dadX	ECK1178
dam	ECK3374
damX	ECK3375
dapA	ECK2474
dapB	ECK0032
dapD	ECK0164
dapE	ECK2467
dapF	ECK3804
dbpA	ECK1340
dcd	ECK2059
dcm	ECK1959
dcp	ECK1531
dcrB	ECK3456
dctA	ECK3513
dctR	ECK3491
dcuA	ECK4132
dcuB	ECK4116
dcuD	ECK3216
dcuR	ECK4117
dcuS	ECK4118
ddg	ECK2374
ddl	ECK0376
ddlB	ECK0093
ddpA	ECK1481
ddpB	ECK1480
ddpC	ECK1479
ddpD	ECK1478
ddpF	ECK1477
ddpX	ECK1482
deaD	ECK3150
dedA	ECK2311
dedD	ECK2308
def	ECK3273
degP	ECK0160
degQ	ECK3223
degS	ECK3224
deoA	ECK4374
deoB	ECK4375
deoC	ECK4373
deoD	ECK4376
deoR	ECK0830
der	ECK2507
dfp	ECK3629
dgkA	ECK4034
dgoA	ECK3685
dgoD	ECK3684
dgoK	ECK3686
dgoR	ECK3687
dgoT	ECK3683
dgsA	ECK1589
dgt	ECK0159
dhaK	ECK1188
dhaL	ECK1187
dhaM	ECK1186
dhaR	ECK1189
diaA	ECK3137
dicA	ECK1564
dicB	ECK1569
dicC	ECK1563
dinB	ECK0232
dinD	ECK3635
dinF	ECK4036
dinG	ECK0788
dinI	ECK1046
dinJ	ECK0227
dipZ	ECK4130
djlA	ECK0056
djlB	ECK0639
djlC	ECK0642
dkgA	ECK3004
dkgB	ECK0207
dksA	ECK0144
dld	ECK2126
dmsA	ECK0885
