Gene	ECKnum
mhpC	ECK0346
mhpD	ECK0347
mhpE	ECK0349
mhpF	ECK0348
mhpR	ECK0343
mhpT	ECK0350
miaA	ECK4167
miaB	ECK0653
minC	ECK1164
minD	ECK1163
minE	ECK1162
mioC	ECK3736
mipA	ECK1780
mlrA	ECK2119
mltA	ECK2809
mltB	ECK2696
mltC	ECK2958
mltD	ECK0211
mltE	ECK1181
mmuM	ECK0263
mmuP	ECK0262
mngA	ECK0719
mngB	ECK0720
mngR	ECK0718
mnmC	ECK2318
mntH	ECK2387
mntR	ECK0807
moaA	ECK0770
moaB	ECK0771
moaC	ECK0772
moaD	ECK0773
moaE	ECK0774
mobA	ECK3849
mobB	ECK3848
modA	ECK0752
modB	ECK0753
modC	ECK0754
modE	ECK0750
modF	ECK0749
moeA	ECK0817
moeB	ECK0816
mog	ECK0009
mokB	ECK1413
molR	ECK2108
motA	ECK1891
motB	ECK1890
mpaA	ECK1322
mpl	ECK4228
mppA	ECK1326
mprA	ECK2678
mqo	ECK2202
mraW	ECK0083
mraY	ECK0088
mraZ	ECK0082
mrcA	ECK3383
mrcB	ECK0148
mrdA	ECK0628
mrdB	ECK0627
mreB	ECK3239
mreC	ECK3238
mreD	ECK3237
mrp	ECK2106
mrr	ECK4341
msbA	ECK0905
mscL	ECK3277
mscS	ECK2920
msrA	ECK4215
msyB	ECK1037
mtfA	ECK1972
mtgA	ECK3197
mtlA	ECK3588
mtlD	ECK3589
mtlR	ECK3590
mtn	ECK0158
mtr	ECK3149
mukB	ECK0915
mukE	ECK0914
mukF	ECK0913
murA	ECK3178
murB	ECK3964
murC	ECK0092
murD	ECK0089
murE	ECK0086
murF	ECK0087
murG	ECK0091
murI	ECK3959
murP	ECK2424
murQ	ECK2423
mutH	ECK2827
mutL	ECK4166
mutM	ECK3625
mutS	ECK2728
mutT	ECK0100
mutY	ECK2956
mviN	ECK1054
nac	ECK1983
nadA	ECK0739
nadB	ECK2572
nadC	ECK0108
nadD	ECK0632
nadE	ECK1738
nadR	ECK4382
nagA	ECK0665
nagB	ECK0666
nagC	ECK0664
nagD	ECK0663
nagE	ECK0667
nagZ	ECK1093
nanA	ECK3214
nanC	ECK4302
nanE	ECK3212
nanK	ECK3211
nanR	ECK3215
nanT	ECK3213
napA	ECK2198
napB	ECK2195
napC	ECK2194
napD	ECK2199
napF	ECK2200
napG	ECK2197
napH	ECK2196
narH	ECK1219
narI	ECK1221
narJ	ECK1220
narK	ECK1217
narL	ECK1215
narP	ECK2185
narQ	ECK2464
narU	ECK1463
narV	ECK1459
narW	ECK1460
narX	ECK1216
narY	ECK1461
narZ	ECK1462
ndh	ECK1095
ndk	ECK2514
nei	ECK0703
nemA	ECK1646
nfi	ECK3990
nfo	ECK2152
nfrA	ECK0560
nfrB	ECK0561
nfsA	ECK0842
nfsB	ECK0570
nhaA	ECK0020
nhaB	ECK1174
nhaR	ECK0021
nhoA	ECK1457
nikA	ECK3460
nikB	ECK3461
nikC	ECK3462
nikD	ECK3463
nikE	ECK3464
nikR	ECK3465
nirB	ECK3353
nirC	ECK3355
nirD	ECK3354
nlpA	ECK3651
nlpB	ECK2473
nlpC	ECK1706
nlpD	ECK2737
nlpE	ECK0192
nlpI	ECK3151
nohA	ECK1541
nohB	ECK0552
norR	ECK2704
norV	ECK2705
norW	ECK2706
npr	ECK3195
nrdA	ECK2226
nrdB	ECK2227
nrdD	ECK4233
nrdE	ECK2669
nrdF	ECK2670
nrdG	ECK4232
nrdH	ECK2667
nrdI	ECK2668
nrdR	ECK0407
nrfA	ECK4063
nrfB	ECK4064
nrfC	ECK4065
nrfD	ECK4066
nrfE	ECK4067
nrfF	ECK4068
nrfG	ECK4069
nsrR	ECK4174
nth	ECK1629
nudB	ECK1866
nudC	ECK3988
nudE	ECK3384
nudF	ECK3025
nudG	ECK1757
nudH	ECK2826
nudI	ECK2244
nudJ	ECK1120
nudK	ECK2462
nudL	ECK1811
nuoA	ECK2282
nuoB	ECK2281
nuoC	ECK2280
nuoE	ECK2279
nuoF	ECK2278
nuoG	ECK2277
nuoH	ECK2276
nuoI	ECK2275
nuoJ	ECK2274
nuoK	ECK2273
nuoL	ECK2272
nuoM	ECK2271
nuoN	ECK2270
nupC	ECK2388
nupG	ECK2959
nupX	ECK2154
nusA	ECK3158
nusB	ECK0410
nusG	ECK3973
obgE	ECK3172
ogrK	ECK2079
ogt	ECK1331
ompA	ECK0948
ompC	ECK2207
ompF	ECK0920
ompG	ECK1315
ompL	ECK3868
ompN	ECK1372
ompR	ECK3392
ompT	ECK0557
ompW	ECK1250
ompX	ECK0803
oppB	ECK1238
oppC	ECK1239
oppD	ECK1240
oppF	ECK1241
orn	ECK4158
osmB	ECK1278
osmC	ECK1476
osmE	ECK1737
osmF	ECK2124
osmY	ECK4367
otsA	ECK1895
otsB	ECK1896
oxc	ECK2369
oxyR	ECK3953
paaB	ECK1386
paaC	ECK1387
paaD	ECK1388
paaE	ECK1389
paaF	ECK1390
paaG	ECK1391
paaH	ECK1392
paaI	ECK1393
paaJ	ECK1394
paaK	ECK1395
paaX	ECK1396
paaY	ECK1397
pabA	ECK3348
pabB	ECK1810
pabC	ECK1082
pagB	ECK4015
pagP	ECK0615
pal	ECK0730
panB	ECK0133
panC	ECK0132
panD	ECK0130
panE	ECK0419
panF	ECK3245
paoA	ECK0285
paoD	ECK0282
parC	ECK3010
parE	ECK3021
pbl	ECK2852
pbpC	ECK2515
pbpG	ECK2127
pck	ECK3390
pcm	ECK2738
pcnB	ECK0142
pdhR	ECK0112
pdxA	ECK0053
pdxB	ECK2314
pdxH	ECK1634
pdxJ	ECK2562
pdxK	ECK2413
pdxY	ECK1632
pepA	ECK4253
pepB	ECK2520
pepD	ECK0238
pepE	ECK4013
pepN	ECK0923
pepP	ECK2903
pepQ	ECK3839
perR	ECK0256
pfkA	ECK3908
pfkB	ECK1721
pflA	ECK0893
pflB	ECK0894
pflC	ECK3943
pflD	ECK3942
pgaB	ECK1013
pgaD	ECK1011
pgi	ECK4017
pgk	ECK2922
pgm	ECK0676
pgpA	ECK0412
pgpB	ECK1273
pgsA	ECK1911
pheA	ECK2596
pheP	ECK0568
pheS	ECK1712
pheT	ECK1711
phnA	ECK4101
phnC	ECK4099
phnD	ECK4098
phnE	ECK4096
phnF	ECK4095
phnG	ECK4094
phnH	ECK4093
phnI	ECK4092
phnJ	ECK4091
phnK	ECK4090
phnL	ECK4089
phnM	ECK4088
phnN	ECK4087
phnO	ECK4086
phnP	ECK4085
phoA	ECK0378
phoB	ECK0393
phoE	ECK0242
phoH	ECK1010
phoP	ECK1116
phoQ	ECK1115
phoR	ECK0394
phoU	ECK3717
php	ECK3366
phr	ECK0697
pinE	ECK1144
pinH	ECK2645
pinQ	ECK1538
pinR	ECK1369
pitA	ECK3478
pitB	ECK2981
pldA	ECK3815
pldB	ECK3819
plsB	ECK4033
plsC	ECK3009
plsX	ECK1076
pmbA	ECK4230
pmrD	ECK2253
pncA	ECK1766
pncB	ECK0922
pnp	ECK3152
pntA	ECK1598
pntB	ECK1597
pnuC	ECK0740
polA	ECK3855
polB	ECK0061
potA	ECK1112
potB	ECK1111
potC	ECK1110
potD	ECK1109
potE	ECK0680
potF	ECK0845
potG	ECK0846
potH	ECK0847
potI	ECK0848
poxA	ECK4151
poxB	ECK0862
ppa	ECK4222
ppc	ECK3947
ppdA	ECK2822
ppdB	ECK2821
ppdC	ECK2819
ppdD	ECK0107
pphA	ECK1837
pphB	ECK2729
ppiA	ECK3351
ppiB	ECK0518
ppiC	ECK3767
ppiD	ECK0435
ppk	ECK2497
ppnK	ECK2611
pppA	ECK2967
pps	ECK1700
pptA	ECK1455
ppx	ECK2498
pqiA	ECK0941
pqiB	ECK0942
pqqL	ECK1488
prc	ECK1829
prfA	ECK1199
prfB	ECK2886
prfC	ECK4366
prfH	ECK0237
priA	ECK3927
priB	ECK4197
priC	ECK0461
prkB	ECK3343
prlC	ECK3483
prmA	ECK3246
prmB	ECK2324
prmC	ECK1200
proA	ECK0244
proB	ECK0243
proC	ECK0381
proP	ECK4104
proQ	ECK1830
proS	ECK0194
proV	ECK2671
proW	ECK2672
proX	ECK2673
proY	ECK0396
prpB	ECK0329
prpC	ECK0330
prpD	ECK0331
prpE	ECK0332
prpR	ECK0328
prsA	ECK1195
psd	ECK4156
psiE	ECK4022
psiF	ECK0379
pspA	ECK1299
pspB	ECK1300
pspC	ECK1301
pspD	ECK1302
pspE	ECK1303
pspF	ECK1298
pssA	ECK2583
pstA	ECK3719
pstB	ECK3718
pstC	ECK3720
pstS	ECK3721
pta	ECK2291
pth	ECK1192
ptrA	ECK2817
ptrB	ECK1846
ptsA	ECK3939
ptsG	ECK1087
ptsH	ECK2410
ptsI	ECK2411
ptsN	ECK3193
ptsP	ECK2825
purA	ECK4173
purB	ECK1117
purC	ECK2472
purD	ECK3997
purE	ECK0516
purF	ECK2306
purH	ECK3998
purK	ECK0515
purL	ECK2555
purM	ECK2495
purN	ECK2496
purR	ECK1654
purT	ECK1850
purU	ECK1227
putA	ECK1005
putP	ECK1006
puuA	ECK1292
puuB	ECK1296
puuC	ECK1295
puuD	ECK1293
puuE	ECK1297
puuP	ECK1291
puuR	ECK1294
pykA	ECK1855
pykF	ECK1672
pyrB	ECK4240
pyrC	ECK1047
pyrD	ECK0936
pyrE	ECK3632
pyrF	ECK1276
pyrG	ECK2774
pyrH	ECK0170
pyrI	ECK4239
pyrL	ECK4241
qmcA	ECK0483
qor	ECK4043
qseB	ECK3016
qseC	ECK3017
queA	ECK0399
queC	ECK0438
queF	ECK2789
quuQ	ECK1553
racC	ECK1348
racR	ECK1354
radA	ECK4381
radC	ECK3628
raiA	ECK2594
rarD	ECK3813
rbbA	ECK3471
rbfA	ECK3156
rbsA	ECK3743
rbsB	ECK3745
rbsC	ECK3744
rbsD	ECK3742
rbsK	ECK3746
rbsR	ECK3747
rcnA	ECK2099
rcsA	ECK1949
rcsB	ECK2210
rcsD	ECK2209
rcsF	ECK0196
rdgB	ECK2949
rdgC	ECK0388
rdoA	ECK3851
recA	ECK2694
recB	ECK2816
recC	ECK2818
recD	ECK2815
recE	ECK1347
recF	ECK3692
recG	ECK3642
recJ	ECK2887
recN	ECK2612
recO	ECK2563
recQ	ECK3816
recR	ECK0466
recT	ECK1346
recX	ECK2693
relA	ECK2778
relB	ECK1558
relE	ECK1557
rem	ECK1555
rep	ECK3770
rfaB	ECK3618
rfaC	ECK3611
rfaD	ECK3609
rfaE	ECK3042
rfaF	ECK3610
rfaG	ECK3621
rfaH	ECK3834
rfaI	ECK3617
rfaJ	ECK3616
rfaL	ECK3612
rfaP	ECK3620
rfaQ	ECK3622
rfaS	ECK3619
rfaY	ECK3615
rfaZ	ECK3614
rfbA	ECK2033
rfbB	ECK2035
rfbC	ECK2032
rfbD	ECK2034
rfbX	ECK2031
rfe	ECK3776
rffA	ECK3783
rffC	ECK3782
rffD	ECK3779
rffE	ECK3778
rffG	ECK3780
rffH	ECK3781
rffM	ECK3787
rffT	ECK3785
rhaA	ECK3896
rhaB	ECK3897
rhaD	ECK3895
rhaM	ECK3894
rhaR	ECK3899
rhaS	ECK3898
rhaT	ECK3900
rhlB	ECK3772
rhlE	ECK0786
rho	ECK3775
rhoL	ECK3774
rhsA	ECK3582
rhsB	ECK3466
rhsC	ECK0689
rhsD	ECK0491
rhsE	ECK1450
rhtA	ECK0802
rhtB	ECK3818
rhtC	ECK3817
ribA	ECK1272
ribB	ECK3032
ribC	ECK1658
ribD	ECK0408
ribF	ECK0026
ribH	ECK0409
rihA	ECK0644
rihB	ECK2155
rihC	ECK0031
rimI	ECK4364
rimJ	ECK1051
rimK	ECK0843
rimL	ECK1420
rimM	ECK2605
rlmB	ECK4176
rlmG	ECK3074
rlmL	ECK0939
rlmN	ECK2513
rlpA	ECK0626
rlpB	ECK0634
rluA	ECK0059
rluB	ECK1263
rluC	ECK1071
rluD	ECK2592
rluF	ECK4014
rmf	ECK0944
rmuC	ECK3826
rna	ECK0604
rnb	ECK1281
rnc	ECK2565
rnd	ECK1802
rne	ECK1069
rnfD	ECK1626
rng	ECK3235
rnhA	ECK0214
rnhB	ECK0182
rnk	ECK0603
rnlA	ECK2626
rnpA	ECK3696
rnr	ECK4175
rnt	ECK1648
rob	ECK4388
rof	ECK0188
rpe	ECK3373
rph	ECK3633
rpiA	ECK2910
rpiB	ECK4083
rpiR	ECK4082
rplA	ECK3975
rplB	ECK3304
rplC	ECK3307
rplD	ECK3306
rplE	ECK3295
rplF	ECK3292
rplI	ECK4199
rplJ	ECK3976
rplK	ECK3974
rplL	ECK3977
rplM	ECK3220
rplN	ECK3297
rplO	ECK3288
rplP	ECK3300
rplQ	ECK3281
rplR	ECK3291
rplS	ECK2603
rplT	ECK1714
rplU	ECK3175
rplV	ECK3302
rplW	ECK3305
rplX	ECK3296
rplY	ECK2179
rpmA	ECK3174
rpmB	ECK3627
rpmC	ECK3299
rpmD	ECK3289
rpmE	ECK3928
rpmF	ECK1075
rpmG	ECK3626
rpmH	ECK3695
rpmI	ECK1715
rpmJ	ECK3286
rpoA	ECK3282
rpoB	ECK3978
rpoC	ECK3979
rpoD	ECK3057
rpoE	ECK2571
rpoH	ECK3445
rpoN	ECK3191
rpoS	ECK2736
rpoZ	ECK3639
rpsA	ECK0902
rpsB	ECK0168
rpsC	ECK3301
rpsD	ECK3283
rpsE	ECK3290
rpsF	ECK4196
rpsG	ECK3328
rpsH	ECK3293
rpsI	ECK3219
rpsJ	ECK3308
rpsK	ECK3284
rpsL	ECK3329
rpsM	ECK3285
rpsN	ECK3294
rpsO	ECK3154
rpsP	ECK2606
rpsQ	ECK3298
rpsR	ECK4198
rpsS	ECK3303
rpsT	ECK0024
rpsU	ECK3055
rraA	ECK3921
rraB	ECK4248
rrmA	ECK1820
rrmJ	ECK3168
rsd	ECK3987
rseA	ECK2570
rseB	ECK2569
rseC	ECK2568
rsgA	ECK4157
rsmB	ECK3275
rsmC	ECK4362
rsmD	ECK3449
rsmE	ECK2941
rspA	ECK1576
rspB	ECK1575
rssA	ECK1229
rstA	ECK1603
rstB	ECK1604
rsuA	ECK2177
rsxA	ECK1623
rsxB	ECK1624
rsxC	ECK1625
rsxE	ECK1628
rsxG	ECK1627
rtcA	ECK3406
rtcB	ECK3407
rtcR	ECK3408
rtn	ECK2170
rumA	ECK2779
rumB	ECK0850
rutA	ECK1003
rutB	ECK1002
rutC	ECK1001
rutD	ECK1000
rutE	ECK0999
rutF	ECK0998
rutG	ECK0997
ruvA	ECK1862
ruvB	ECK1861
ruvC	ECK1864
rzpD	ECK0547
rzpR	ECK1360
sad	ECK1518
sanA	ECK2137
sapA	ECK1289
sapB	ECK1288
sapC	ECK1287
sapD	ECK1286
sapF	ECK1285
sbcB	ECK2005
sbcC	ECK0391
sbcD	ECK0392
sbmA	ECK0372
sbmC	ECK2003
sbp	ECK3909
scpA	ECK2913
scpB	ECK2915
scpC	ECK2916
sdaA	ECK1812
sdaB	ECK2792
sdaC	ECK2791
sdhA	ECK0712
sdhB	ECK0713
sdhC	ECK0710
sdhD	ECK0711
sdiA	ECK1915
secA	ECK0099
secB	ECK3599
secD	ECK0402
secE	ECK3972
secF	ECK0403
secG	ECK3164
secM	ECK0098
secY	ECK3287
selA	ECK3580
selB	ECK3579
selD	ECK1762
seqA	ECK0675
serA	ECK2909
serB	ECK4380
serC	ECK0898
serS	ECK0884
setA	ECK0072
setB	ECK2163
setC	ECK3649
sfmA	ECK0523
sfmC	ECK0524
sfmD	ECK0525
sfmF	ECK0527
sfmH	ECK0526
sfsA	ECK0145
sfsB	ECK3177
sgaB	ECK4190
sgaE	ECK4194
sgbE	ECK3572
sgbH	ECK3570
sgbU	ECK3571
sgcA	ECK4291
sgcB	ECK4294
sgcC	ECK4293
sgcE	ECK4290
sgcQ	ECK4292
sgcR	ECK4289
sgcX	ECK4295
shiA	ECK1976
sieB	ECK1351
sixA	ECK2334
skp	ECK0177
slmA	ECK3631
slp	ECK3490
slt	ECK4384
slyA	ECK1638
slyB	ECK1637
slyD	ECK3336
slyX	ECK3335
smf	ECK3272
smg	ECK3271
smpA	ECK2613
smpB	ECK2616
smtA	ECK0912
sodA	ECK3901
sodB	ECK1652
sodC	ECK1642
sohA	ECK3117
sohB	ECK1266
solA	ECK1044
soxR	ECK4055
soxS	ECK4054
speA	ECK2933
speB	ECK2932
speC	ECK2960
speD	ECK0119
speE	ECK0120
speF	ECK0681
speG	ECK1579
spoT	ECK3640
sppA	ECK1764
spr	ECK2169
sprT	ECK2939
spy	ECK1741
sra	ECK1474
srlA	ECK2697
srlB	ECK2699
srlD	ECK2700
srlE	ECK2698
srlR	ECK2702
srmB	ECK2574
ssb	ECK4051
sseA	ECK2517
sseB	ECK2519
ssnA	ECK2875
sspA	ECK3218
sspB	ECK3217
sstT	ECK3080
ssuA	ECK0927
ssuB	ECK0924
ssuC	ECK0925
ssuD	ECK0926
ssuE	ECK0928
stfE	ECK1143
stfR	ECK1367
sthA	ECK3954
stpA	ECK2663
sucA	ECK0714
sucB	ECK0715
sucC	ECK0716
sucD	ECK0717
sufA	ECK1680
sufB	ECK1679
sufC	ECK1678
sufD	ECK1677
sufE	ECK1675
sufS	ECK1676
sugE	ECK4144
suhB	ECK2530
sulA	ECK0949
surA	ECK0054
surE	ECK2739
sxy	ECK0950
syd	ECK2788
tadA	ECK2557
tag	ECK3536
talA	ECK2459
talB	ECK0008
tam	ECK1512
tap	ECK1886
tar	ECK1887
tas	ECK2830
tatA	ECK3830
tatB	ECK3831
tatC	ECK3832
tatD	ECK3833
tatE	ECK0620
tauA	ECK0362
tauB	ECK0363
tauC	ECK0364
tauD	ECK0365
tbpA	ECK0069
tdcA	ECK3107
tdcB	ECK3106
tdcC	ECK3105
tdcD	ECK3104
tdcE	ECK3103
tdcF	ECK3102
tdcG	ECK3101
tdh	ECK3606
tdk	ECK1233
tehA	ECK1422
tehB	ECK1423
tesA	ECK0488
tesB	ECK0446
tfaD	ECK0553
tfaE	ECK1142
tfaP	ECK1141
tfaQ	ECK1539
tfaR	ECK1368
tfaS	ECK2347
tgt	ECK0400
thiC	ECK3986
thiD	ECK2096
thiE	ECK3985
thiF	ECK3984
thiG	ECK3982
thiH	ECK3981
thiI	ECK0417
thiK	ECK1092
thiL	ECK0411
thiM	ECK2097
thiP	ECK0068
thiQ	ECK0067
thiS	ECK3983
thrA	ECK0002
thrB	ECK0003
thrC	ECK0004
thrL	ECK0001
thrS	ECK1717
thyA	ECK2823
tig	ECK0430
tilS	ECK0187
tktA	ECK2930
tktB	ECK2460
tldD	ECK3233
tmk	ECK1084
tnaA	ECK3701
tnaC	ECK3700
tolA	ECK0728
tolB	ECK0729
tolC	ECK3026
tolQ	ECK0726
tolR	ECK0727
tonB	ECK1246
topA	ECK1268
topB	ECK1761
torA	ECK0988
torC	ECK0987
torD	ECK0989
torI	ECK2359
torR	ECK0986
torS	ECK0984
torT	ECK0985
torY	ECK1874
torZ	ECK1873
tpiA	ECK3911
tpx	ECK1320
tqsA	ECK1596
treA	ECK1185
treB	ECK4235
treC	ECK4234
treF	ECK3504
treR	ECK4236
trg	ECK1415
trkD	ECK3741
trkG	ECK1362
trkH	ECK3841
trmA	ECK3957
trmD	ECK2604
trmE	ECK3699
trmH	ECK3641
trmU	ECK1119
trpA	ECK1254
trpB	ECK1255
trpC	ECK1256
trpD	ECK1257
trpE	ECK1258
trpH	ECK1260
trpR	ECK4385
trpS	ECK3371
truA	ECK2312
truB	ECK3155
truC	ECK2785
truD	ECK2740
trxA	ECK3773
trxB	ECK0879
trxC	ECK2580
tsf	ECK0169
tsgA	ECK3352
tsr	ECK4345
tsx	ECK0405
ttcA	ECK1341
ttdA	ECK3051
ttdR	ECK3050
ttdT	ECK3053
tufA	ECK3326
tufB	ECK3971
tus	ECK1605
tynA	ECK1383
typA	ECK3864
tyrA	ECK2597
tyrB	ECK4046
tyrP	ECK1906
tyrR	ECK1319
tyrS	ECK1633
ubiA	ECK4032
ubiB	ECK3829
ubiC	ECK4031
ubiD	ECK3835
ubiE	ECK3827
ubiF	ECK0654
ubiG	ECK2224
ubiH	ECK2902
ubiX	ECK2305
ucpA	ECK2421
udk	ECK2060
udp	ECK3825
ugd	ECK2023
ugpA	ECK3436
ugpB	ECK3437
ugpC	ECK3434
ugpE	ECK3435
ugpQ	ECK3433
uhpA	ECK3660
uhpB	ECK3659
uhpC	ECK3658
uhpT	ECK3657
uidA	ECK1612
uidB	ECK1611
uidC	ECK1610
uidR	ECK1613
ulaA	ECK4189
ulaC	ECK4191
ulaD	ECK4192
ulaE	ECK4193
ulaG	ECK4188
ulaR	ECK4187
umuC	ECK1172
umuD	ECK1171
ung	ECK2578
upp	ECK2494
uraA	ECK2493
usg	ECK2313
ushA	ECK0474
uspA	ECK3480
uspB	ECK3479
uspC	ECK1894
uspD	ECK3915
uspE	ECK1329
uspF	ECK1371
uspG	ECK0601
uup	ECK0940
uvrA	ECK4050
uvrB	ECK0768
uvrC	ECK1912
uvrD	ECK3808
uvrY	ECK1913
uxaA	ECK3082
uxaB	ECK1514
uxaC	ECK3083
uxuA	ECK4313
uxuB	ECK4314
uxuR	ECK4315
vacJ	ECK2340
valS	ECK4251
viaA	ECK3739
visC	ECK2901
vsr	ECK1958
waaA	ECK3623
waaU	ECK3613
wbbH	ECK2029
wbbI	ECK2028
wbbJ	ECK2027
wbbK	ECK2026
wbbL	ECK2025
wcaA	ECK2053
wcaB	ECK2052
wcaC	ECK2051
wcaD	ECK2050
wcaE	ECK2049
wcaF	ECK2048
wcaI	ECK2044
wcaJ	ECK2041
wcaK	ECK2039
wcaL	ECK2038
wcaM	ECK2037
wecH	ECK3550
wrbA	ECK0995
wza	ECK2056
wzb	ECK2055
wzc	ECK2054
wzxC	ECK2040
wzxE	ECK3784
wzyE	ECK3786
wzzE	ECK3777
xapA	ECK2401
xapB	ECK2400
xapR	ECK2399
xdhA	ECK2862
xdhB	ECK2863
xdhC	ECK2864
xdhD	ECK2877
xerC	ECK3806
xerD	ECK2889
xisE	ECK1127
xseA	ECK2505
xseB	ECK0416
xthA	ECK1747
xylA	ECK3554
xylB	ECK3553
xylE	ECK4023
xylF	ECK3555
xylG	ECK3556
xylH	ECK3557
xylR	ECK3558
yaaA	ECK0006
yaaH	ECK0010
yaaI	ECK0013
yaaJ	ECK0007
yaaU	ECK0046
yaaW	ECK0011
yaaX	ECK0005
yaaY	ECK0025
yabI	ECK0066
yabP	ECK0057
yabQ	ECK0058
yacC	ECK0121
yacF	ECK0102
yacG	ECK0101
yacH	ECK0116
yacL	ECK0118
yadB	ECK0143
yadC	ECK0134
yadD	ECK0131
yadE	ECK0129
yadG	ECK0126
yadH	ECK0127
yadI	ECK0128
yadK	ECK0135
yadL	ECK0136
yadM	ECK0137
yadN	ECK0140
yadR	ECK0155
yadS	ECK0156
yaeB	ECK0195
yaeF	ECK0193
yaeH	ECK0162
yaeI	ECK0163
yaeJ	ECK0191
yaeL	ECK0175
yaeP	ECK0189
yaeQ	ECK0190
yaeR	ECK0186
yaeT	ECK0176
yafC	ECK0208
yafD	ECK0209
yafE	ECK0210
yafF	ECK0219
yafJ	ECK0224
yafK	ECK0225
yafL	ECK0228
yafM	ECK0229
yafN	ECK0233
yafO	ECK0234
yafP	ECK0235
yafQ	ECK0226
yafS	ECK0213
yafT	ECK0217
yafU	ECK0218
yafV	ECK0220
yafW	ECK0247
yafX	ECK0250
yafY	ECK0253
yafZ	ECK0254
yagA	ECK0268
yagB	ECK0267
yagE	ECK0269
yagF	ECK0270
yagG	ECK0271
yagH	ECK0272
yagI	ECK0273
yagJ	ECK0275
yagK	ECK0276
yagL	ECK0277
yagM	ECK0278
yagN	ECK0279
yagP	ECK0281
yagR	ECK0283
yagS	ECK0284
yagU	ECK0286
yagV	ECK0288
yagW	ECK0289
yagX	ECK0290
yagY	ECK0291
yahA	ECK0313
yahB	ECK0314
yahC	ECK0315
yahD	ECK0316
yahE	ECK0317
yahF	ECK0318
yahG	ECK0319
yahI	ECK0321
yahJ	ECK0322
yahK	ECK0323
yahL	ECK0324
yahM	ECK0325
yahN	ECK0326
yahO	ECK0327
yaiA	ECK0384
yaiC	ECK0380
yaiE	ECK0386
yaiF	ECK0359
yaiI	ECK0382
yaiL	ECK0351
yaiO	ECK0355
yaiP	ECK0360
yaiS	ECK0361
yaiT	ECK0368
yaiU	ECK0369
yaiV	ECK0370
yaiW	ECK0373
yaiX	ECK0356
yaiY	ECK0374
yaiZ	ECK0375
yajB	ECK0398
yajC	ECK0401
yajD	ECK0404
yajG	ECK0428
yajI	ECK0406
yajL	ECK0418
yajO	ECK0413
yajQ	ECK0420
yajR	ECK0421
ybaA	ECK0450
ybaB	ECK0465
ybaE	ECK0439
ybaJ	ECK0455
ybaK	ECK0475
ybaL	ECK0472
ybaM	ECK0460
ybaN	ECK0462
ybaO	ECK0441
ybaP	ECK0476
ybaQ	ECK0477
ybaS	ECK0479
ybaT	ECK0480
ybaV	ECK0436
ybaW	ECK0437
ybaY	ECK0447
ybaZ	ECK0448
ybbA	ECK0489
ybbB	ECK0496
ybbC	ECK0492
ybbD	ECK0494
ybbJ	ECK0482
ybbL	ECK0484
ybbM	ECK0485
ybbN	ECK0486
ybbO	ECK0487
ybbP	ECK0490
ybbW	ECK0504
ybbY	ECK0506
ybcF	ECK0514
ybcH	ECK0559
ybcI	ECK0520
ybcJ	ECK0521
ybcV	ECK0550
ybcW	ECK0551
ybcY	ECK0554
ybdB	ECK0590
ybdD	ECK0592
ybdF	ECK0571
ybdG	ECK0569
ybdH	ECK0593
ybdJ	ECK0572
ybdK	ECK0573
ybdL	ECK0594
ybdM	ECK0595
ybdN	ECK0596
ybdO	ECK0597
ybdR	ECK0602
ybdZ	ECK0578
ybeA	ECK0629
ybeB	ECK0630
ybeD	ECK0624
ybeF	ECK0622
ybeH	ECK0618
ybeL	ECK0636
ybeM	ECK0619
ybeQ	ECK0637
ybeR	ECK0638
ybeT	ECK0640
ybeU	ECK0641
ybeX	ECK0650
ybeY	ECK0651
ybeZ	ECK0652
ybfA	ECK0688
ybfB	ECK0690
ybfC	ECK0692
ybfE	ECK0673
ybfF	ECK0674
ybfG	ECK0678
ybfH	ECK0679
ybfL	ECK0694
ybfM	ECK0669
ybfN	ECK0670
ybfO	ECK0691
ybfP	ECK0677
ybfQ	ECK0693
ybgA	ECK0696
ybgC	ECK0725
ybgD	ECK0708
ybgE	ECK0724
ybgF	ECK0731
ybgH	ECK0698
ybgI	ECK0699
ybgJ	ECK0700
ybgK	ECK0701
ybgL	ECK0702
ybgO	ECK0705
ybgP	ECK0706
ybgQ	ECK0707
ybgS	ECK0742
ybgT	ECK0723
ybhA	ECK0755
ybhB	ECK0762
ybhC	ECK0761
ybhD	ECK0757
ybhE	ECK0756
ybhF	ECK0783
ybhG	ECK0784
ybhH	ECK0758
ybhI	ECK0759
ybhJ	ECK0760
ybhK	ECK0769
ybhL	ECK0775
ybhM	ECK0776
ybhN	ECK0777
ybhO	ECK0778
ybhP	ECK0779
ybhQ	ECK0780
ybhR	ECK0781
ybhS	ECK0782
ybhT	ECK0751
ybiA	ECK0787
ybiB	ECK0789
ybiC	ECK0790
ybiH	ECK0785
ybiI	ECK0792
ybiJ	ECK0791
ybiM	ECK0795
ybiN	ECK0796
ybiO	ECK0797
ybiP	ECK0804
ybiR	ECK0808
ybiS	ECK0809
ybiT	ECK0810
ybiU	ECK0811
ybiV	ECK0812
ybiW	ECK0813
ybiX	ECK0793
ybiY	ECK0814
ybjC	ECK0841
ybjD	ECK0867
ybjE	ECK0865
ybjG	ECK0831
ybjH	ECK0833
ybjI	ECK0834
ybjJ	ECK0835
ybjK	ECK0836
ybjL	ECK0838
